Delivery Date,Delivery Hour,Delivery Interval,Repeated Hour Flag,Settlement Point Name,Settlement Point Type,Settlement Point Price
01/02/2022,14,3,N,LZ_SOUTH,LZ,18.13
01/02/2022,14,4,N,LZ_SOUTH,LZ,17.73
01/02/2022,15,1,N,LZ_SOUTH,LZ,14.54
01/02/2022,15,2,N,LZ_SOUTH,LZ,12.72
01/02/2022,15,3,N,LZ_SOUTH,LZ,12.35
01/02/2022,15,4,N,LZ_SOUTH,LZ,12.09
01/02/2022,16,1,N,LZ_SOUTH,LZ,10.76
01/02/2022,16,2,N,LZ_SOUTH,LZ,7.14
01/02/2022,16,3,N,LZ_SOUTH,LZ,7.94
01/02/2022,16,4,N,LZ_SOUTH,LZ,7.78
01/02/2022,17,1,N,LZ_SOUTH,LZ,3.59
01/02/2022,17,2,N,LZ_SOUTH,LZ,2.96
01/02/2022,17,3,N,LZ_SOUTH,LZ,3.85
01/02/2022,17,4,N,LZ_SOUTH,LZ,7.55
01/02/2022,18,1,N,LZ_SOUTH,LZ,6.49
01/02/2022,18,2,N,LZ_SOUTH,LZ,6.87
01/02/2022,18,3,N,LZ_SOUTH,LZ,12.23
01/02/2022,18,4,N,LZ_SOUTH,LZ,20.21
01/02/2022,19,1,N,LZ_SOUTH,LZ,15.73
01/02/2022,19,2,N,LZ_SOUTH,LZ,16.81
01/02/2022,19,3,N,LZ_SOUTH,LZ,22.37
01/02/2022,19,4,N,LZ_SOUTH,LZ,31.51
01/02/2022,20,1,N,LZ_SOUTH,LZ,33.36
01/02/2022,20,2,N,LZ_SOUTH,LZ,34.86
01/02/2022,20,3,N,LZ_SOUTH,LZ,34.89
01/02/2022,20,4,N,LZ_SOUTH,LZ,36.03
01/02/2022,21,1,N,LZ_SOUTH,LZ,38.47
01/02/2022,21,2,N,LZ_SOUTH,LZ,38.63
01/02/2022,21,3,N,LZ_SOUTH,LZ,36.08
01/02/2022,21,4,N,LZ_SOUTH,LZ,36.6
01/02/2022,22,1,N,LZ_SOUTH,LZ,37.22
01/02/2022,22,2,N,LZ_SOUTH,LZ,37.62
01/02/2022,22,3,N,LZ_SOUTH,LZ,37.32
01/02/2022,22,4,N,LZ_SOUTH,LZ,36.55
01/02/2022,23,1,N,LZ_SOUTH,LZ,34.35
01/02/2022,23,2,N,LZ_SOUTH,LZ,34.44
01/02/2022,23,3,N,LZ_SOUTH,LZ,34.36
01/02/2022,23,4,N,LZ_SOUTH,LZ,34.5
